Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
3V3,30,15,0,TPTP20R,TP20R
BOOT_BUTTON,24,107.5,180,BUTTON_CUSYOMV1,MYBUTTON
C1,158.91,6.21,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,69.8,107.5,270, 100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,103,50,270,CPH3225A,CAPCP3225X100N
C1_BAT,137,41,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,123,38,180,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,125,51,0,4.7uF,EAGLE-LTSPICE_C0402
C2,160.48,6.24,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,134,53,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,133,40,90,100uF TANT,RCL_CT3528
C4,97.34,37.71,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,157.61,52.01,90,100nF,EAGLE-LTSPICE_C0402
C5,53.89,107.39,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,147.02,49.61,90,4.7uF,EAGLE-LTSPICE_C0402
C6,29.14,107.48,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,93.52,30.2,180,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,100,50,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,10.42,100.58,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64,107.5,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,121,51,270,,ADAFRUIT_CHIP-LED0603
C_DELAY,54.19,98.79,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,154.68,49.79,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,42.66,37.91,90,PGB1010603MR,DIOC1608X36N
D11,34.37,46.03,90,PGB1010603MR,DIOC1608X36N
D12,12.7,98.33,0,PGB1010603MR,DIOC1608X36N
D2,122,41,270,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,93.64,32.59,0,MBR0530,SOD3716X135N
D4,92.03,37.14,180,MBR0530,SOD3716X135N
D5,86.8,41.04,180,MBR0530,SOD3716X135N
D6,79.91,17.67,0,PGB1010603MR,DIOC1608X36N
D7,95.19,64.22,0,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,48.66,37.91,90,PGB1010603MR,DIOC1608X36N
D9,46.66,37.91,90,PGB1010603MR,DIOC1608X36N
EPD_3V3,36.64,15.4,0,TPTP20R,TP20R
EPD_3V3_C,21.36,5.06,0,TPTP20R,TP20R
EPD_BUSY,18.73,14.98,0,TPTP20R,TP20R
EPD_C1,82.58,18.01,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
